elapsed_time,tempC_1,pressure_hPa_1,humidity_pct_1,alt_m_1,tempC_2,pressure_hPa_2,humidity_pct_2,alt_m_2
1.056637,908.37,908.30
1.101370,908.37,908.20
1.117726,908.42,908.20
1.120136,908.39,908.30
1.146513,908.39,908.30
1.148938,908.39,908.31
1.165289,908.39,908.27
1.181631,908.36,908.27
1.184056,908.36,908.34
1.200427,908.36,908.33
1.216788,908.42,908.33
1.219200,908.31,908.31
1.235563,908.31,908.29
1.251933,908.30,908.29
1.254328,908.33,908.31
1.270779,908.33,908.27
1.287187,908.30,908.27
1.289612,908.31,908.34
1.305974,908.31,908.36
1.322366,908.35,908.36
1.324755,908.40,908.33
1.344160,908.40,908.29
1.358359,908.36,908.29
1.360719,908.38,908.28
1.376978,908.38,908.26
1.393278,908.38,908.26
1.395622,908.35,908.29
1.411962,908.35,908.28
1.428261,908.40,908.28
1.430611,908.36,908.33
1.446867,908.36,908.33
1.463240,908.36,908.33
1.465697,908.36,908.30
1.482049,908.36,908.29
1.498375,908.37,908.29
1.500728,908.32,908.25
1.517067,908.32,908.33
1.533451,908.34,908.33
1.535845,908.39,908.28
1.552215,908.39,908.38
1.568578,908.39,908.38
1.571009,908.34,908.32
1.587370,908.34,908.31
1.603717,908.41,908.31
1.606113,908.36,908.34
1.622468,908.36,908.26
1.638826,908.41,908.26
1.641213,908.44,908.30
1.657601,908.44,908.26
1.674075,908.33,908.26
1.676479,908.39,908.29
1.692838,908.39,908.29
1.709203,908.39,908.29
1.711633,908.41,908.35
1.728001,908.41,908.26
1.744361,908.39,908.26
1.746755,908.37,908.32
1.763135,908.37,908.26
1.779492,908.37,908.26
1.781912,908.31,908.32
1.798317,908.31,908.27
1.814693,908.39,908.27
1.817095,908.35,908.30
1.833455,908.35,908.30
1.849829,908.37,908.30
1.852261,908.37,908.31
1.868719,908.37,908.23
1.885092,908.38,908.23
1.887490,908.33,908.33
1.903932,908.33,908.33
1.920228,908.36,908.33
1.922604,908.42,908.27
1.938884,908.42,908.32
1.955197,908.29,908.32
1.957596,908.37,908.35
1.973980,908.37,908.27
